Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001138,Male,Yes,1,Graduate,No,20649,0.0,39250,360.0,1.0,Urban,Y
LP001144,Male,Yes,0,Graduate,No,20821,0.0,31524,360.0,1.0,Urban,Y
LP001146,Female,Yes,0,Graduate,No,17645,3440.0,54068,360.0,0.0,Urban,N
LP001151,Female,No,0,Graduate,No,19000,2275.0,47541,360.0,1.0,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,16928,1644.0,56027,360.0,1.0,Semiurban,Y
LP001157,Female,No,0,Graduate,No,18086,0.0,80152,360.0,1.0,Semiurban,Y
LP001164,Female,No,0,Graduate,No,19230,0.0,48823,360.0,1.0,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,19616,0.0,36982,360.0,1.0,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,26500,0.0,83624,360.0,0.0,Urban,N
LP001194,Male,Yes,2,Graduate,No,17708,1167.0,36360,360.0,1.0,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,17132,1591.0,87105,360.0,1.0,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,18366,2200.0,51910,360.0,1.0,Rural,N
LP001198,Male,Yes,1,Graduate,No,23080,2250.0,63883,360.0,1.0,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,18357,2859.0,45742,360.0,1.0,Urban,Y
LP001205,Male,Yes,0,Graduate,No,17500,3796.0,68464,360.0,1.0,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,18029,0.0,20906,360.0,1.0,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,17609,3449.0,22645,180.0,0.0,Rural,N
LP001213,Male,Yes,1,Graduate,No,19945,0.0,60814,360.0,0.0,Rural,N
LP001222,Female,No,0,Graduate,No,19166,0.0,54955,360.0,0.0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,20726,4595.0,69238,360.0,1.0,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,18200,2254.0,49330,180.0,0.0,Urban,N
LP001233,Male,Yes,1,Graduate,No,25750,0.0,23791,360.0,1.0,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,22100,0.0,44404,60.0,1.0,Urban,Y
LP001241,Female,No,0,Graduate,No,19300,0.0,91637,360.0,0.0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,18208,3066.0,24258,360.0,1.0,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,16875,1875.0,39207,360.0,1.0,Semiurban,Y
LP001248,Male,No,0,Graduate,No,18500,0.0,22648,300.0,1.0,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,19755,0.0,47783,,0.0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,20266,1774.0,74951,360.0,1.0,Semiurban,Y
LP001255,Male,No,0,Graduate,No,18750,0.0,93743,480.0,1.0,Urban,N
LP001256,Male,No,0,Graduate,No,18750,4750.0,90080,360.0,1.0,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,16000,3022.0,93697,360.0,1.0,Urban,N
LP001263,Male,Yes,3+,Graduate,No,18167,4000.0,70836,300.0,0.0,Semiurban,N
LP001264,Male,Yes,3+,Not Graduate,Yes,18333,2166.0,45543,360.0,,Semiurban,Y
LP001265,Female,No,0,Graduate,No,18846,0.0,61930,360.0,1.0,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,17395,0.0,39744,360.0,1.0,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,16378,1881.0,60654,360.0,1.0,Urban,N
LP001273,Male,Yes,0,Graduate,No,21000,2250.0,60830,360.0,,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,18988,0.0,53450,240.0,1.0,Urban,Y
LP001279,Male,No,0,Graduate,No,17366,2531.0,29227,360.0,1.0,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,18333,2000.0,51301,360.0,,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,17500,2118.0,95681,360.0,1.0,Semiurban,Y
LP001289,Male,No,0,Graduate,No,23566,0.0,27134,360.0,1.0,Urban,Y
LP001310,Male,Yes,0,Graduate,No,20695,4167.0,46357,360.0,1.0,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,17958,2900.0,68743,360.0,1.0,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,21250,5654.0,23596,180.0,1.0,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,18273,1820.0,40388,360.0,1.0,Urban,Y
LP001322,Male,No,0,Graduate,No,19133,0.0,69519,360.0,1.0,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,18620,0.0,34039,120.0,1.0,Semiurban,Y
LP001326,Male,No,0,Graduate,,21782,0.0,69715,360.0,,Urban,N
LP001327,Female,Yes,0,Graduate,No,17484,2302.0,27486,360.0,1.0,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,16977,997.0,42932,360.0,1.0,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,19188,0.0,52089,180.0,1.0,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,16759,3541.0,40696,360.0,1.0,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,19288,3263.0,95951,180.0,1.0,Urban,Y
LP001349,Male,No,0,Graduate,No,19843,3806.0,37023,360.0,1.0,Semiurban,Y
LP001350,Male,Yes,,Graduate,No,28650,0.0,94788,360.0,1.0,Urban,Y
LP001356,Male,Yes,0,Graduate,No,19652,3583.0,52703,360.0,1.0,Semiurban,Y
LP001357,Male,,,Graduate,No,18816,754.0,52223,360.0,1.0,Urban,Y
LP001367,Male,Yes,1,Graduate,No,18052,1030.0,59906,360.0,1.0,Urban,Y
LP001369,Male,Yes,2,Graduate,No,26417,1126.0,24227,360.0,1.0,Urban,Y
LP001370,Male,No,0,Not Graduate,,22333,0.0,91882,360.0,1.0,Rural,N
LP001379,Male,Yes,2,Graduate,No,18800,3600.0,30794,360.0,0.0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,17071,754.0,35284,480.0,1.0,Semiurban,Y
LP001385,Male,No,0,Graduate,No,20316,0.0,87619,360.0,1.0,Urban,Y
LP001387,Female,Yes,0,Graduate,,17929,2333.0,84993,360.0,1.0,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,18572,4114.0,69530,,0.0,Rural,N
LP001392,Female,No,1,Graduate,Yes,22451,0.0,75977,360.0,1.0,Semiurban,Y
LP001398,Male,No,0,Graduate,,20050,0.0,96774,360.0,1.0,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,29583,0.0,30212,180.0,1.0,Rural,Y
LP001404,Female,Yes,0,Graduate,No,18167,2283.0,82479,360.0,1.0,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,17214,1398.0,91632,360.0,,Urban,Y
LP001421,Male,Yes,0,Graduate,No,20568,2142.0,43174,360.0,1.0,Rural,N
LP001422,Female,No,0,Graduate,No,25408,0.0,60355,360.0,1.0,Urban,Y
LP001426,Male,Yes,,Graduate,No,20667,2667.0,85101,360.0,1.0,Rural,Y
LP001430,Female,No,0,Graduate,No,19166,0.0,60423,360.0,1.0,Semiurban,Y
LP001431,Female,No,0,Graduate,No,17137,8980.0,73299,360.0,0.0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,17957,0.0,77415,360.0,1.0,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,19300,2014.0,28359,360.0,1.0,Rural,Y
LP001443,Female,No,0,Graduate,No,18692,0.0,98032,360.0,,Rural,Y
LP001448,,Yes,3+,Graduate,No,38803,0.0,43162,360.0,1.0,Rural,Y
LP001449,Male,No,0,Graduate,No,18865,1640.0,90199,360.0,1.0,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,25513,3850.0,65927,180.0,0.0,Urban,N
LP001465,Male,Yes,0,Graduate,No,21080,2569.0,80199,360.0,,Rural,N
LP001469,Male,No,0,Graduate,Yes,35166,0.0,40494,480.0,,Urban,Y
LP001473,Male,No,0,Graduate,No,17014,1929.0,41545,360.0,1.0,Urban,Y
LP001478,Male,No,0,Graduate,No,17718,0.0,55945,360.0,1.0,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,18459,0.0,23321,120.0,1.0,Semiurban,Y
LP001487,Male,No,0,Graduate,No,19895,0.0,68643,360.0,1.0,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,No,19000,7750.0,60118,360.0,1.0,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,19583,0.0,29153,360.0,1.0,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,18316,3500.0,56989,360.0,1.0,Urban,Y
LP001492,Male,No,0,Graduate,No,29999,0.0,45754,360.0,0.0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,19200,1430.0,88302,360.0,1.0,Rural,N
LP001497,Male,Yes,2,Graduate,No,20042,2083.0,59309,360.0,1.0,Rural,N
LP001498,Male,No,0,Graduate,No,20417,0.0,70171,360.0,1.0,Urban,Y
LP001504,Male,No,0,Graduate,Yes,21950,0.0,97295,180.0,1.0,Semiurban,Y
LP001507,Male,Yes,0,Graduate,No,17698,2034.0,72184,360.0,1.0,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,26757,0.0,81266,180.0,1.0,Urban,Y
LP001514,Female,Yes,0,Graduate,No,17330,4486.0,79161,360.0,1.0,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,29866,0.0,33941,360.0,1.0,Urban,Y
LP001518,Male,Yes,1,Graduate,No,16538,1425.0,99714,360.0,1.0,Urban,Y
LP001519,Female,No,0,Graduate,No,25000,1666.0,87446,360.0,1.0,Rural,N
LP001520,Male,Yes,0,Graduate,No,19860,830.0,22834,360.0,1.0,Semiurban,Y
LP001528,Male,No,0,Graduate,No,21277,0.0,57912,360.0,0.0,Rural,N
LP001529,Male,Yes,0,Graduate,Yes,17577,3750.0,50053,360.0,1.0,Rural,Y
LP001531,Male,No,0,Graduate,No,24166,0.0,56817,360.0,1.0,Urban,N
LP001532,Male,Yes,2,Not Graduate,No,17281,0.0,85730,360.0,1.0,Rural,N
LP001535,Male,No,0,Graduate,No,18254,0.0,37562,360.0,1.0,Urban,Y
LP001536,Male,Yes,3+,Graduate,No,54999,0.0,82772,180.0,0.0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,No,21000,0.0,31707,360.0,,Rural,Y
LP001543,Male,Yes,1,Graduate,No,24538,0.0,63584,360.0,1.0,Urban,Y
LP001546,Male,No,0,Graduate,,17980,2083.0,49868,360.0,1.0,Rural,Y
LP001552,Male,Yes,0,Graduate,No,19583,5625.0,25458,360.0,1.0,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,16863,1041.0,31397,360.0,1.0,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,22933,0.0,79608,360.0,1.0,Urban,N
LP001565,Male,Yes,1,Graduate,No,18089,1280.0,79342,360.0,0.0,Semiurban,N
LP001570,Male,Yes,2,Graduate,No,19167,1447.0,97029,360.0,1.0,Rural,Y
LP001572,Male,Yes,0,Graduate,No,24323,0.0,69938,180.0,1.0,Urban,Y
LP001574,Male,Yes,0,Graduate,No,18707,3166.0,54128,,1.0,Rural,Y
LP001577,Female,Yes,0,Graduate,No,19583,0.0,46848,360.0,1.0,Rural,N
LP001578,Male,Yes,0,Graduate,No,17439,3333.0,54599,360.0,1.0,Rural,Y
LP001579,Male,No,0,Graduate,No,17237,0.0,79268,480.0,0.0,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,23000,0.0,44824,360.0,1.0,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,,16820,1769.0,53848,360.0,1.0,Rural,Y
LP001585,,Yes,3+,Graduate,No,66763,0.0,81835,300.0,1.0,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,No,18522,0.0,22175,180.0,1.0,Rural,N
LP001594,Male,Yes,0,Graduate,No,20708,5625.0,85244,360.0,1.0,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,19344,736.0,26381,360.0,1.0,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,18497,1964.0,70084,360.0,1.0,Rural,Y
LP001608,Male,Yes,2,Graduate,No,17045,1619.0,81687,360.0,1.0,Rural,Y
LP001610,Male,Yes,3+,Graduate,No,20516,11300.0,61724,360.0,0.0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,18750,0.0,58751,360.0,1.0,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,17333,1451.0,90846,480.0,0.0,Urban,N
LP001633,Male,Yes,1,Graduate,No,21400,7250.0,64615,360.0,0.0,Urban,N
LP001634,Male,No,0,Graduate,No,16916,5063.0,76976,360.0,,Rural,N
LP001636,Male,Yes,0,Graduate,No,19600,0.0,65469,180.0,1.0,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,48846,0.0,44937,360.0,1.0,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,18625,0.0,47683,360.0,1.0,Semiurban,Y
LP001640,Male,Yes,0,Graduate,Yes,54147,4750.0,26039,360.0,1.0,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,17178,0.0,69992,300.0,0.0,Rural,N
LP001643,Male,Yes,0,Graduate,No,17383,2138.0,89488,360.0,,Rural,Y
LP001644,,Yes,0,Graduate,Yes,15674,5296.0,20236,360.0,1.0,Rural,Y
LP001647,Male,Yes,0,Graduate,No,24328,0.0,95407,180.0,1.0,Rural,Y
LP001653,Male,No,0,Not Graduate,No,19885,0.0,90961,360.0,1.0,Rural,Y
LP001656,Male,No,0,Graduate,No,27000,0.0,81510,360.0,1.0,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,No,21033,0.0,59951,360.0,1.0,Urban,N
LP001658,Male,No,0,Graduate,No,18858,0.0,35262,360.0,1.0,Semiurban,Y
LP001664,Male,No,0,Graduate,No,19191,0.0,23261,360.0,1.0,Rural,Y
LP001665,Male,Yes,1,Graduate,No,18125,2583.0,95850,360.0,1.0,Semiurban,N
LP001666,Male,No,0,Graduate,No,23333,3750.0,50730,360.0,1.0,Rural,Y
LP001669,Female,No,0,Not Graduate,No,16907,2365.0,77120,,1.0,Urban,Y
LP001671,Female,Yes,0,Graduate,No,18416,2816.0,67712,360.0,,Semiurban,Y
LP001673,Male,No,0,Graduate,Yes,26000,0.0,47565,360.0,1.0,Urban,N
LP001674,Male,Yes,1,Not Graduate,No,17600,2500.0,68218,360.0,1.0,Semiurban,Y
LP001677,Male,No,2,Graduate,No,19923,0.0,76024,360.0,0.0,Semiurban,Y
LP001682,Male,Yes,3+,Not Graduate,No,18992,0.0,38068,180.0,1.0,Urban,N
LP001688,Male,Yes,1,Not Graduate,No,18500,1083.0,24656,360.0,1.0,Urban,Y
LP001691,Male,Yes,2,Not Graduate,No,18917,0.0,38787,360.0,1.0,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,19408,0.0,36481,360.0,1.0,Semiurban,Y
LP001693,Female,No,0,Graduate,No,18244,0.0,42693,360.0,1.0,Urban,Y
LP001698,Male,No,0,Not Graduate,No,18975,2531.0,33715,360.0,1.0,Rural,Y
LP001699,Male,No,0,Graduate,No,17479,0.0,36986,360.0,1.0,Urban,Y
LP001702,Male,No,0,Graduate,No,18418,0.0,47283,360.0,1.0,Semiurban,N
LP001708,Female,No,0,Graduate,No,25000,0.0,58312,360.0,1.0,Semiurban,N
LP001711,Male,Yes,3+,Graduate,No,18430,1250.0,82441,360.0,0.0,Semiurban,N
LP001713,Male,Yes,1,Graduate,Yes,22787,0.0,29172,360.0,1.0,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,20703,0.0,61821,360.0,1.0,Rural,Y
LP001716,Male,Yes,0,Graduate,No,18173,3021.0,60212,360.0,1.0,Urban,Y
LP001720,Male,Yes,3+,Not Graduate,No,18850,983.0,33653,360.0,1.0,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,15150,1800.0,31070,360.0,1.0,Rural,N
LP001726,Male,Yes,0,Graduate,No,18727,1775.0,43581,360.0,1.0,Semiurban,Y
LP001732,Male,Yes,2,Graduate,,20000,0.0,69794,360.0,0.0,Semiurban,N
LP001734,Female,Yes,2,Graduate,No,19283,2383.0,21138,360.0,,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,17221,0.0,50642,360.0,0.0,Urban,N
LP001743,Male,Yes,2,Graduate,No,19009,1717.0,58325,360.0,1.0,Semiurban,Y
LP001744,Male,No,0,Graduate,No,17971,2791.0,53863,360.0,1.0,Semiurban,Y
LP001749,Male,Yes,0,Graduate,No,22578,1010.0,44195,,1.0,Semiurban,Y
LP001750,Male,Yes,0,Graduate,No,21250,0.0,85612,360.0,1.0,Semiurban,Y
LP001751,Male,Yes,0,Graduate,No,18250,0.0,35684,360.0,1.0,Rural,N
LP001754,Male,Yes,,Not Graduate,Yes,19735,0.0,96826,360.0,1.0,Urban,N
LP001758,Male,Yes,2,Graduate,No,21250,1695.0,54137,360.0,1.0,Semiurban,Y
LP001760,Male,,,Graduate,No,19758,0.0,76834,480.0,1.0,Semiurban,Y
LP001761,Male,No,0,Graduate,Yes,21400,0.0,50179,360.0,1.0,Rural,Y
LP001765,Male,Yes,1,Graduate,No,17491,2054.0,89319,360.0,1.0,Semiurban,Y
LP001768,Male,Yes,0,Graduate,,18716,0.0,99802,180.0,1.0,Rural,Y
LP001770,Male,No,0,Not Graduate,No,18189,2598.0,68271,,1.0,Rural,Y
LP001776,Female,No,0,Graduate,No,23333,0.0,37920,360.0,1.0,Semiurban,Y
LP001778,Male,Yes,1,Graduate,No,18155,1779.0,50232,360.0,1.0,Semiurban,Y
LP001784,Male,Yes,1,Graduate,No,20500,1260.0,78384,360.0,1.0,Rural,Y
LP001786,Male,Yes,0,Graduate,,20746,0.0,46172,360.0,,Urban,N
LP001788,Female,No,0,Graduate,Yes,18463,0.0,55099,360.0,,Urban,Y
LP001790,Female,No,1,Graduate,No,18812,0.0,62088,360.0,1.0,Rural,Y
LP001792,Male,Yes,1,Graduate,No,18315,0.0,69973,360.0,1.0,Semiurban,Y
LP001798,Male,Yes,2,Graduate,No,20819,5000.0,64134,360.0,1.0,Rural,Y
LP001800,Male,Yes,1,Not Graduate,No,17510,1983.0,47316,180.0,1.0,Urban,N
LP001806,Male,No,0,Graduate,No,17965,5701.0,94654,60.0,1.0,Urban,Y
LP001807,Male,Yes,2,Graduate,Yes,21250,1300.0,28363,360.0,1.0,Rural,Y
LP001811,Male,Yes,0,Not Graduate,No,18406,4417.0,20995,360.0,1.0,Semiurban,Y
LP001813,Male,No,0,Graduate,Yes,21050,4333.0,87955,180.0,1.0,Urban,N
LP001814,Male,Yes,2,Graduate,No,24703,0.0,40044,360.0,1.0,Urban,Y
LP001819,Male,Yes,1,Not Graduate,No,21608,0.0,91231,180.0,1.0,Urban,Y
LP001824,Male,Yes,1,Graduate,No,17882,1843.0,49933,480.0,1.0,Semiurban,Y
LP001825,Male,Yes,0,Graduate,No,16809,1868.0,97701,360.0,1.0,Urban,Y
LP001835,Male,Yes,0,Not Graduate,No,16668,3890.0,29711,360.0,0.0,Semiurban,N
LP001836,Female,No,2,Graduate,No,18427,0.0,92139,360.0,1.0,Urban,N
LP001841,Male,No,0,Not Graduate,Yes,17583,2167.0,30846,360.0,1.0,Rural,Y
LP001843,Male,Yes,1,Not Graduate,No,17661,7101.0,97243,180.0,1.0,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,31250,0.0,46315,360.0,0.0,Urban,N
LP001846,Female,No,3+,Graduate,No,18083,0.0,20402,360.0,1.0,Rural,Y
LP001849,Male,No,0,Not Graduate,No,21045,0.0,76480,360.0,0.0,Rural,N
LP001854,Male,Yes,3+,Graduate,No,20250,0.0,95917,360.0,1.0,Urban,N
LP001859,Male,Yes,0,Graduate,No,29683,2100.0,98700,360.0,1.0,Rural,N
LP001864,Male,Yes,3+,Not Graduate,No,19931,0.0,35976,360.0,,Semiurban,N
LP001865,Male,Yes,1,Graduate,No,21083,4250.0,86979,360.0,,Urban,Y
LP001868,Male,No,0,Graduate,No,17060,2209.0,34901,360.0,1.0,Semiurban,Y
LP001870,Female,No,1,Graduate,No,18481,0.0,40556,36.0,1.0,Semiurban,N
LP001871,Female,No,0,Graduate,No,22200,0.0,55650,360.0,1.0,Rural,Y
LP001872,Male,No,0,Graduate,Yes,20166,0.0,96285,360.0,1.0,Semiurban,Y
LP001875,Male,No,0,Graduate,No,19095,3447.0,32786,360.0,1.0,Rural,Y
LP001877,Male,Yes,2,Graduate,No,19708,1387.0,37419,360.0,1.0,Semiurban,Y
LP001882,Male,Yes,3+,Graduate,No,19333,1811.0,30982,360.0,0.0,Urban,Y
LP001883,Female,No,0,Graduate,,18418,0.0,87310,360.0,1.0,Rural,N
LP001884,Female,No,1,Graduate,No,17876,1560.0,72916,360.0,1.0,Urban,Y
LP001888,Female,No,0,Graduate,No,18237,0.0,76358,360.0,1.0,Urban,Y
LP001891,Male,Yes,0,Graduate,No,26146,0.0,40609,360.0,1.0,Urban,Y
LP001892,Male,No,0,Graduate,No,17833,1857.0,77497,360.0,1.0,Rural,Y
LP001894,Male,Yes,0,Graduate,No,17620,2223.0,22048,360.0,1.0,Semiurban,Y
LP001896,Male,Yes,2,Graduate,No,18900,0.0,62219,360.0,1.0,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,17750,1842.0,60404,360.0,1.0,Semiurban,Y
LP001903,Male,Yes,0,Graduate,No,18993,3274.0,31174,360.0,1.0,Semiurban,Y
LP001904,Male,Yes,0,Graduate,No,18103,1300.0,23367,360.0,1.0,Urban,Y
LP001907,Male,Yes,0,Graduate,No,29583,0.0,80932,360.0,1.0,Semiurban,Y
LP001908,Female,Yes,0,Not Graduate,No,19100,0.0,65901,360.0,,Rural,Y
LP001910,Male,No,1,Not Graduate,Yes,19053,2426.0,63230,360.0,0.0,Urban,N
LP001914,Male,Yes,0,Graduate,No,18927,800.0,32485,360.0,1.0,Semiurban,Y
LP001915,Male,Yes,2,Graduate,No,17301,985.7999878,68360,180.0,1.0,Urban,Y
LP001917,Female,No,0,Graduate,No,16811,1666.0,81187,360.0,1.0,Urban,Y
LP001922,Male,Yes,0,Graduate,No,35667,0.0,25311,360.0,1.0,Rural,N
LP001924,Male,No,0,Graduate,No,18158,3053.0,87192,360.0,1.0,Rural,Y
LP001925,Female,No,0,Graduate,Yes,17600,1717.0,66792,300.0,1.0,Semiurban,N
LP001926,Male,Yes,0,Graduate,No,18704,2000.0,96683,360.0,1.0,Rural,Y
LP001931,Female,No,0,Graduate,No,19124,0.0,25908,360.0,1.0,Semiurban,Y
LP001935,Male,No,0,Graduate,No,24508,0.0,70152,360.0,1.0,Rural,Y
LP001936,Male,Yes,0,Graduate,No,18075,2416.0,92630,360.0,1.0,Rural,Y
LP001938,Male,Yes,2,Graduate,No,19400,0.0,98880,360.0,0.0,Semiurban,N
LP001940,Male,Yes,2,Graduate,No,18153,1560.0,84281,360.0,1.0,Urban,Y
LP001945,Female,No,,Graduate,No,20417,0.0,76677,480.0,0.0,Urban,N
LP001947,Male,Yes,0,Graduate,No,17383,3334.0,53030,360.0,1.0,Semiurban,Y
LP001949,Male,Yes,3+,Graduate,,19416,1250.0,57835,360.0,1.0,Urban,Y
